season,matchday,home_team,away_team,date,home_goals,away_goals
2024,8,US Lecce,ACF Fiorentina,2024-10-20 13:00:00+00:00,0,6
2024,8,Venezia FC,Atalanta BC,2024-10-20 13:00:00+00:00,0,2
2024,8,Cagliari Calcio,Torino FC,2024-10-20 16:00:00+00:00,3,2
2024,8,AS Roma,FC Internazionale Milano,2024-10-20 18:45:00+00:00,0,1
2024,8,Hellas Verona FC,AC Monza,2024-10-21 18:45:00+00:00,0,3
2024,9,Udinese Calcio,Cagliari Calcio,2024-10-25 16:30:00+00:00,2,0
2024,9,Torino FC,Como 1907,2024-10-25 18:45:00+00:00,1,0
2024,9,SSC Napoli,US Lecce,2024-10-26 13:00:00+00:00,1,0
2024,9,Atalanta BC,Hellas Verona FC,2024-10-26 18:45:00+00:00,6,1
2024,9,Parma Calcio 1913,Empoli FC,2024-10-27 11:30:00+00:00,1,1
2024,9,SS Lazio,Genoa CFC,2024-10-27 14:00:00+00:00,3,0
2024,9,AC Monza,Venezia FC,2024-10-27 14:00:00+00:00,2,2
2024,9,FC Internazionale Milano,Juventus FC,2024-10-27 17:00:00+00:00,4,4
2024,9,ACF Fiorentina,AS Roma,2024-10-27 19:45:00+00:00,5,1
2024,10,Cagliari Calcio,Bologna FC 1909,2024-10-29 17:30:00+00:00,0,2
2024,10,US Lecce,Hellas Verona FC,2024-10-29 17:30:00+00:00,1,0
2024,10,AC Milan,SSC Napoli,2024-10-29 19:45:00+00:00,0,2
2024,10,Empoli FC,FC Internazionale Milano,2024-10-30 17:30:00+00:00,0,3
2024,10,Venezia FC,Udinese Calcio,2024-10-30 17:30:00+00:00,3,2
2024,10,Atalanta BC,AC Monza,2024-10-30 19:45:00+00:00,2,0
2024,10,Juventus FC,Parma Calcio 1913,2024-10-30 19:45:00+00:00,2,2
2024,10,Genoa CFC,ACF Fiorentina,2024-10-31 17:30:00+00:00,0,1
2024,10,Como 1907,SS Lazio,2024-10-31 19:45:00+00:00,1,5
2024,10,AS Roma,Torino FC,2024-10-31 19:45:00+00:00,1,0
2024,11,Bologna FC 1909,US Lecce,2024-11-02 14:00:00+00:00,1,0
2024,11,Udinese Calcio,Juventus FC,2024-11-02 17:00:00+00:00,0,2
2024,11,AC Monza,AC Milan,2024-11-02 19:45:00+00:00,0,1
2024,11,SSC Napoli,Atalanta BC,2024-11-03 11:30:00+00:00,0,3
2024,11,Torino FC,ACF Fiorentina,2024-11-03 14:00:00+00:00,0,1
2024,11,Hellas Verona FC,AS Roma,2024-11-03 17:00:00+00:00,3,2
2024,11,FC Internazionale Milano,Venezia FC,2024-11-03 19:45:00+00:00,1,0
2024,11,Empoli FC,Como 1907,2024-11-04 17:30:00+00:00,1,0
2024,11,Parma Calcio 1913,Genoa CFC,2024-11-04 17:30:00+00:00,0,1
2024,11,SS Lazio,Cagliari Calcio,2024-11-04 19:45:00+00:00,2,1
2024,12,Genoa CFC,Como 1907,2024-11-07 19:45:00+00:00,1,1
2024,12,US Lecce,Empoli FC,2024-11-08 19:45:00+00:00,1,1
2024,12,Venezia FC,Parma Calcio 1913,2024-11-09 14:00:00+00:00,1,2
2024,12,Cagliari Calcio,AC Milan,2024-11-09 17:00:00+00:00,3,3
2024,12,Juventus FC,Torino FC,2024-11-09 19:45:00+00:00,2,0
2024,12,Atalanta BC,Udinese Calcio,2024-11-10 11:30:00+00:00,2,1
2024,12,ACF Fiorentina,Hellas Verona FC,2024-11-10 14:00:00+00:00,3,1
2024,12,AS Roma,Bologna FC 1909,2024-11-10 14:00:00+00:00,2,3
2024,12,AC Monza,SS Lazio,2024-11-10 17:00:00+00:00,0,1
2024,12,FC Internazionale Milano,SSC Napoli,2024-11-10 19:45:00+00:00,1,1
2024,13,Hellas Verona FC,FC Internazionale Milano,2024-11-23 14:00:00+00:00,0,5
2024,13,AC Milan,Juventus FC,2024-11-23 17:00:00+00:00,0,0
2024,13,Parma Calcio 1913,Atalanta BC,2024-11-23 19:45:00+00:00,1,3
2024,13,Genoa CFC,Cagliari Calcio,2024-11-24 11:30:00+00:00,2,2
2024,13,Como 1907,ACF Fiorentina,2024-11-24 14:00:00+00:00,0,2
2024,13,Torino FC,AC Monza,2024-11-24 14:00:00+00:00,1,1
2024,13,SSC Napoli,AS Roma,2024-11-24 17:00:00+00:00,1,0
2024,13,SS Lazio,Bologna FC 1909,2024-11-24 19:45:00+00:00,3,0
2024,13,Empoli FC,Udinese Calcio,2024-11-25 17:30:00+00:00,1,1
2024,13,Venezia FC,US Lecce,2024-11-25 19:45:00+00:00,0,1
2024,14,Cagliari Calcio,Hellas Verona FC,2024-11-29 19:45:00+00:00,1,0
2024,14,Como 1907,AC Monza,2024-11-30 14:00:00+00:00,1,1
2024,14,AC Milan,Empoli FC,2024-11-30 17:00:00+00:00,3,0
2024,14,Bologna FC 1909,Venezia FC,2024-11-30 19:45:00+00:00,3,0
2024,14,Udinese Calcio,Genoa CFC,2024-12-01 11:30:00+00:00,0,2
2024,14,Parma Calcio 1913,SS Lazio,2024-12-01 14:00:00+00:00,3,1
2024,14,Torino FC,SSC Napoli,2024-12-01 14:00:00+00:00,0,1
2024,14,US Lecce,Juventus FC,2024-12-01 19:45:00+00:00,1,1
2024,14,AS Roma,Atalanta BC,2024-12-02 19:45:00+00:00,0,2
2024,15,FC Internazionale Milano,Parma Calcio 1913,2024-12-06 17:30:00+00:00,3,1
2024,15,Atalanta BC,AC Milan,2024-12-06 19:45:00+00:00,2,1
2024,15,Genoa CFC,Torino FC,2024-12-07 14:00:00+00:00,0,0
2024,15,Juventus FC,Bologna FC 1909,2024-12-07 17:00:00+00:00,2,2
2024,15,AS Roma,US Lecce,2024-12-07 19:45:00+00:00,4,1
2024,15,ACF Fiorentina,Cagliari Calcio,2024-12-08 11:30:00+00:00,1,0
2024,15,Hellas Verona FC,Empoli FC,2024-12-08 14:00:00+00:00,1,4
2024,15,Venezia FC,Como 1907,2024-12-08 17:00:00+00:00,2,2
2024,15,SSC Napoli,SS Lazio,2024-12-08 19:45:00+00:00,0,1
2024,15,AC Monza,Udinese Calcio,2024-12-09 19:45:00+00:00,1,2
2024,16,Empoli FC,Torino FC,2024-12-13 19:45:00+00:00,0,1
2024,16,Cagliari Calcio,Atalanta BC,2024-12-14 14:00:00+00:00,0,1
2024,16,Udinese Calcio,SSC Napoli,2024-12-14 17:00:00+00:00,1,3
2024,16,Juventus FC,Venezia FC,2024-12-14 19:45:00+00:00,2,2
2024,16,US Lecce,AC Monza,2024-12-15 11:30:00+00:00,2,1
2024,16,Bologna FC 1909,ACF Fiorentina,2024-12-15 14:00:00+00:00,1,0
2024,16,Parma Calcio 1913,Hellas Verona FC,2024-12-15 14:00:00+00:00,2,3
2024,16,Como 1907,AS Roma,2024-12-15 17:00:00+00:00,2,0
2024,16,AC Milan,Genoa CFC,2024-12-15 19:45:00+00:00,0,0
2024,16,SS Lazio,FC Internazionale Milano,2024-12-16 19:45:00+00:00,0,6
2024,17,Hellas Verona FC,AC Milan,2024-12-20 19:45:00+00:00,0,1
2024,17,Torino FC,Bologna FC 1909,2024-12-21 14:00:00+00:00,0,2
2024,17,Genoa CFC,SSC Napoli,2024-12-21 17:00:00+00:00,1,2
2024,17,US Lecce,SS Lazio,2024-12-21 19:45:00+00:00,1,2
2024,17,AS Roma,Parma Calcio 1913,2024-12-22 11:30:00+00:00,5,0
2024,17,Venezia FC,Cagliari Calcio,2024-12-22 14:00:00+00:00,2,1
2024,17,Atalanta BC,Empoli FC,2024-12-22 17:00:00+00:00,3,2
2024,17,AC Monza,Juventus FC,2024-12-22 19:45:00+00:00,1,2
2024,17,ACF Fiorentina,Udinese Calcio,2024-12-23 17:30:00+00:00,1,2
