num_matches,matches,types,total_quota,total_probability,expected_return_per_euro,roi_percentage,score
2,"['AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X']",1.32,76.7818195968104,1.02,1.51,0.7912319399390593
3,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio']","['1X', '1X', '1X']",1.7,65.0034230426458,1.1,10.21,0.7895090943786073
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X', '1X']",1.98,58.540509941022734,1.16,16.12,0.7893864790372275
2,"['AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X']",1.42,72.82325248416112,1.04,3.63,0.7821337969949097
3,"['Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.67,65.58285912404655,1.09,9.2,0.7820123270799892
3,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio']","['1X', '1X', '1X']",1.84,61.08403536668799,1.13,12.52,0.7734314438931786
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X', '1X']",2.16,55.010804235269305,1.19,18.56,0.7733113255041673
2,"['US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina']","['2X', '1X']",1.58,67.61429463765512,1.07,6.8,0.7711783448044637
2,"['Juventus FC vs Cagliari Calcio', 'AS Roma vs SSC Napoli']","['1X', '1X']",1.38,73.74132621624169,1.02,2.0,0.7671897512359155
3,"['Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X']",1.62,66.40965411304576,1.07,7.47,0.7670706022179744
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",2.32,52.17466461745839,1.21,21.04,0.7644192464251698
5,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X', '1X']",2.71,46.987240513534815,1.28,27.54,0.7643005276826945
3,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC']","['1X', '1X', '2X']",2.2,53.79077998708641,1.18,18.38,0.7538289983177459
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '2X', '1X']",2.57,48.442674911189236,1.25,24.74,0.7537119243022232
2,"['AC Milan vs SS Lazio', 'AS Roma vs SSC Napoli']","['1X', '1X']",1.5,69.29508582377638,1.04,4.14,0.7515666143218537
3,"['AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X']",1.76,62.40547759876386,1.1,9.73,0.7514498916676872
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X']",2.25,52.832424157597316,1.19,19.13,0.7498136684006365
5,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X', '1X']",2.64,47.57960283994712,1.26,25.53,0.7496972179891384
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X']",2.45,49.64688803593164,1.22,21.64,0.7345443799585184
5,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X', '1X']",2.87,44.71078608739682,1.28,28.16,0.7344303009560745
2,"['US Lecce vs Torino FC', 'AS Roma vs SSC Napoli']","['2X', '1X']",1.8,61.021455006323514,1.1,9.56,0.7325183279224827
3,"['US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['2X', '1X', '1X']",2.1,54.95444587694676,1.15,15.44,0.7324045635776707
3,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.59,66.12458562066325,1.05,5.22,0.732141794454522
4,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",1.86,59.550201830646365,1.11,10.87,0.7320280885875416
2,"['Como 1907 vs US Sassuolo Calcio', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X']",1.22,78.91958346761704,0.96,-3.73,0.7313606859404891
3,"['Como 1907 vs US Sassuolo Calcio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.43,71.07306729826274,1.01,1.43,0.7312471013841909
3,"['Como 1907 vs US Sassuolo Calcio', 'Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X']",1.39,71.96907666229274,1.0,-0.17,0.7172753357013836
3,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.73,62.137597338685914,1.07,7.44,0.717232378007231
4,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",2.02,55.9596166548055,1.13,13.2,0.7171209876590969
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'AS Roma vs SSC Napoli']","['1X', '1X', '2X', '1X']",2.93,43.719194636585605,1.28,27.97,0.715927518251425
5,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '2X', '1X', '1X']",3.42,39.37244884100146,1.35,34.84,0.7158163305555789
2,"['Genoa CFC vs Hellas Verona FC', 'AC Pisa 1909 vs FC Internazionale Milano']","['1X', '2X']",1.49,68.5362379218425,1.02,1.93,0.7120320427748724
3,"['Genoa CFC vs Hellas Verona FC', 'AC Pisa 1909 vs FC Internazionale Milano', 'Atalanta BC vs ACF Fiorentina']","['1X', '2X', '1X']",1.74,61.72207753969713,1.07,7.4,0.7119214600689607
3,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio']","['1X', '1X', '1X']",1.68,62.920958338713405,1.06,5.74,0.7035283883344229
4,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X', '1X']",1.97,56.66509261688574,1.11,11.42,0.703419126295366
2,"['Como 1907 vs US Sassuolo Calcio', 'AC Milan vs SS Lazio']","['1X', '1X']",1.29,75.09605961028235,0.97,-3.26,0.7027778069331777
3,"['Como 1907 vs US Sassuolo Calcio', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X']",1.51,67.62969422799853,1.02,1.93,0.7026686614637656
3,"['Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'Bologna FC 1909 vs US Cremonese']","['1X', '2X', '1X']",2.07,54.71854973737058,1.13,13.03,0.6990542850866038
4,"['Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '2X', '1X', '1X']",2.42,49.27820189957351,1.19,19.1,0.6989457179017304
4,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",2.12,53.743664429245506,1.14,13.74,0.6953307170216241
5,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X', '1X']",2.48,48.40024377982631,1.2,19.85,0.695222728128467
3,"['Como 1907 vs US Sassuolo Calcio', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.62,64.14297452253581,1.04,4.06,0.6945888815640009
